Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F2:6B:A5:3B:DC:06, 2023-10-23 21:21:03, 2023-10-23 21:21:03, -89,        1, (not associated) ,
B0:76:1B:E0:C1:C4, 2023-10-23 21:22:55, 2023-10-23 21:22:55, -88,        1, (not associated) ,
B0:6F:E0:94:18:0C, 2023-10-23 21:36:52, 2023-10-24 01:08:36, -89,       12, (not associated) ,
A4:B6:1E:F6:40:53, 2023-10-23 21:42:38, 2023-10-23 23:37:31, -90,       14, (not associated) ,
8A:9F:00:15:56:4E, 2023-10-23 21:53:32, 2023-10-23 21:53:32, -87,        2, 66:80:BA:68:C9:C6,
16:DA:73:2C:0E:02, 2023-10-23 22:10:41, 2023-10-24 00:38:20, -90,        8, (not associated) ,
DA:A1:19:D2:3E:0F, 2023-10-23 22:42:38, 2023-10-23 22:42:38, -88,        1, (not associated) ,
7E:E6:A0:B8:20:7B, 2023-10-23 22:48:00, 2023-10-23 23:09:27, -85,       13, 76:29:98:28:A2:D4,FraanSL
56:04:75:D8:DA:87, 2023-10-23 22:55:12, 2023-10-23 22:55:12,  -1,        1, 18:35:D1:7F:3C:F1,
EC:3C:BB:BF:4D:E9, 2023-10-23 22:56:25, 2023-10-23 22:56:25,  -1,        1, CC:ED:DC:3A:DF:4F,
72:0E:68:4C:56:7F, 2023-10-23 23:06:58, 2023-10-23 23:06:58, -87,        1, (not associated) ,
24:62:AB:32:DA:D3, 2023-10-23 23:10:42, 2023-10-24 04:48:52, -75,      242, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
DA:A1:19:41:41:41, 2023-10-23 23:15:07, 2023-10-23 23:15:07, -73,        3, (not associated) ,
A6:E6:98:5D:88:FC, 2023-10-23 23:18:23, 2023-10-23 23:18:23, -88,        3, (not associated) ,
D6:54:A3:0A:99:08, 2023-10-23 23:29:53, 2023-10-23 23:29:53, -106,        1, (not associated) ,
DA:A1:19:AF:B6:6F, 2023-10-23 23:32:33, 2023-10-23 23:32:33, -90,        2, (not associated) ,
B2:4B:3B:57:A1:4A, 2023-10-23 23:41:48, 2023-10-23 23:41:48, -84,        3, (not associated) ,
EA:0D:61:4F:8F:5B, 2023-10-23 23:49:09, 2023-10-23 23:49:09, -87,        2, (not associated) ,
D6:54:A3:8C:FD:0C, 2023-10-23 23:50:50, 2023-10-23 23:50:50, -84,        2, (not associated) ,victoria
B6:A1:BC:8A:47:FC, 2023-10-23 23:52:14, 2023-10-23 23:52:14, -83,        2, (not associated) ,victoria
B4:6D:C2:0A:05:A9, 2023-10-23 23:52:33, 2023-10-24 03:29:19, -88,       18, (not associated) ,
D6:54:A3:CF:5F:DF, 2023-10-23 23:53:29, 2023-10-23 23:53:29, -86,        2, (not associated) ,victoria
